,,,地方行財政,,,,,,,,,,,,,,,,,,,,,,,,
,,,歳出 - 1人当たり（目的別）,,,,,,,,,,,,,,,,,,,,,,,,
No,都道府県,年度,中学校費 - 1人当たり（目的別）（都道府県財政）【千円】,住宅費 - 1人当たり（目的別）（都道府県財政）【千円】,児童福祉費 - 1人当たり（目的別）（都道府県財政）【千円】,公債費 - 1人当たり（目的別）（都道府県財政）【千円】,労働費 - 1人当たり（目的別）（都道府県財政）【千円】,商工費 - 1人当たり（目的別）（都道府県財政）【千円】,土木費 - 1人当たり（目的別）（都道府県財政）【千円】,小学校費 - 1人当たり（目的別）（都道府県財政）【千円】,教育費 - 1人当たり（目的別）（都道府県財政）【千円】,歳出決算総額 - 1人当たり（目的別）（都道府県財政）【千円】,民生費 - 1人当たり（目的別）（都道府県財政）【千円】,消防費 - 1人当たり（目的別）（都道府県財政）【千円】,災害復旧費 - 1人当たり（目的別）（都道府県財政）【千円】,災害救助費 - 1人当たり（目的別）（都道府県財政）【千円】,生活保護費 - 1人当たり（目的別）（都道府県財政）【千円】,社会福祉費 - 1人当たり（目的別）（都道府県財政）【千円】,総務費 - 1人当たり（目的別）（都道府県財政）【千円】,老人福祉費 - 1人当たり（目的別）（都道府県財政）【千円】,衛生費 - 1人当たり（目的別）（都道府県財政）【千円】,警察費 - 1人当たり（目的別）（都道府県財政）【千円】,議会費 - 1人当たり（目的別）（都道府県財政）【千円】,農林水産業費 - 1人当たり（目的別）（都道府県財政）【千円】,道路橋りょう費 - 1人当たり（目的別）（都道府県財政）【千円】,都市計画費 - 1人当たり（目的別）（都道府県財政）【千円】,高等学校費 - 1人当たり（目的別）（都道府県財政）【千円】
89,東京都,2014,10.992,9.318,18.616,44.093,1.917,24.010,58.567,20.303,70.148,489.471,64.176,16.482,0.325,0.189,2.254,22.327,47.984,20.791,19.076,44.509,0.421,1.511,9.200,31.697,10.932
90,東京都,2015,10.992,9.609,18.180,39.314,2.181,26.575,58.383,20.529,71.330,513.104,71.755,16.422,0.330,0.158,1.803,27.294,54.820,24.320,18.828,44.691,0.417,1.474,9.777,30.165,10.552
91,東京都,2016,11.022,9.531,18.750,34.940,2.123,27.406,66.752,20.736,75.455,494.999,81.744,16.552,0.315,0.196,1.772,37.726,25.297,23.300,16.104,45.742,0.414,1.631,15.768,31.955,11.175
92,東京都,2017,10.972,8.693,21.610,40.593,2.357,24.781,61.614,21.089,73.929,497.484,70.488,16.750,0.089,0.084,1.686,23.813,42.748,23.295,15.996,45.252,0.360,1.385,10.465,31.233,11.050
93,東京都,2018,10.946,9.183,22.434,34.327,2.011,27.463,64.356,21.770,77.337,533.860,70.893,16.769,0.109,0.047,1.613,22.447,36.408,24.353,14.638,45.369,0.360,1.396,9.965,33.383,11.431
94,東京都,2019,10.813,8.894,25.014,29.167,2.320,31.958,63.790,21.732,91.281,544.581,78.797,17.422,0.177,0.369,1.566,27.049,60.030,24.800,18.103,46.168,0.361,1.533,10.048,30.989,11.504
95,東京都,2020,10.779,7.864,26.248,27.632,6.149,92.356,58.209,22.041,85.635,612.884,95.523,16.630,0.244,0.079,1.538,40.726,45.490,26.931,38.711,45.034,0.363,1.776,9.553,30.566,11.012
96,東京都,2021,10.611,8.180,26.917,26.200,3.753,149.820,54.156,22.003,95.387,684.473,89.520,16.448,0.226,0.079,1.609,34.268,41.957,26.647,49.864,44.215,0.367,1.420,9.444,27.440,11.590
97,東京都,2022,10.658,8.154,27.796,27.444,3.248,55.198,57.669,22.243,80.055,654.532,88.670,16.726,0.133,0.100,1.526,31.563,77.749,27.684,84.001,44.841,0.357,1.884,10.183,30.641,11.436
98,東京都,2023,10.735,8.251,36.900,27.032,4.258,34.254,58.009,22.740,77.100,593.020,98.500,17.412,0.120,0.066,1.457,32.301,62.290,27.775,45.280,45.037,0.332,1.983,11.313,29.446,11.395
